,URL
0,/book/show/2767052-the-hunger-games
1,/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
2,/book/show/2657.To_Kill_a_Mockingbird
3,/book/show/1885.Pride_and_Prejudice
4,/book/show/41865.Twilight
5,/book/show/19063.The_Book_Thief
6,/book/show/7613.Animal_Farm
7,/book/show/11127.The_Chronicles_of_Narnia
8,/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
9,/book/show/18405.Gone_with_the_Wind
10,/book/show/11870085-the-fault-in-our-stars
11,/book/show/370493.The_Giving_Tree
12,/book/show/6185.Wuthering_Heights
13,/book/show/968.The_Da_Vinci_Code
14,/book/show/930.Memoirs_of_a_Geisha
15,/book/show/5297.The_Picture_of_Dorian_Gray
16,/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
17,/book/show/24280.Les_Mis_rables
18,/book/show/10210.Jane_Eyre
19,/book/show/13335037-divergent
20,/book/show/18135.Romeo_and_Juliet
21,/book/show/7624.Lord_of_the_Flies
22,/book/show/865.The_Alchemist
23,/book/show/7144.Crime_and_Punishment
24,/book/show/22628.The_Perks_of_Being_a_Wallflower
25,/book/show/375802.Ender_s_Game
26,/book/show/256683.City_of_Bones
27,/book/show/4671.The_Great_Gatsby
28,/book/show/4667024-the-help
29,/book/show/8127.Anne_of_Green_Gables
30,/book/show/24178.Charlotte_s_Web
31,/book/show/18619684-the-time-traveler-s-wife
32,/book/show/890.Of_Mice_and_Men
33,/book/show/17245.Dracula
34,/book/show/157993.The_Little_Prince
35,/book/show/5129.Brave_New_World
36,/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
37,/book/show/320.One_Hundred_Years_of_Solitude
38,/book/show/21787.The_Princess_Bride
39,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
40,/book/show/5107.The_Catcher_in_the_Rye
41,/book/show/2998.The_Secret_Garden
42,/book/show/128029.A_Thousand_Splendid_Suns
43,/book/show/18131.A_Wrinkle_in_Time
44,/book/show/4381.Fahrenheit_451
45,/book/show/28187.The_Lightning_Thief
46,/book/show/13496.A_Game_of_Thrones
47,/book/show/2956.The_Adventures_of_Huckleberry_Finn
48,/book/show/12232938-the-lovely-bones
49,/book/show/19543.Where_the_Wild_Things_Are
50,/book/show/23772.Green_Eggs_and_Ham
51,/book/show/231804.The_Outsiders
52,/book/show/4214.Life_of_Pi
53,/book/show/1953.A_Tale_of_Two_Cities
54,/book/show/1381.The_Odyssey
55,/book/show/43641.Water_for_Elephants
56,/book/show/7604.Lolita
57,/book/show/4981.Slaughterhouse_Five
58,/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
59,/book/show/18490.Frankenstein
60,/book/show/77203.The_Kite_Runner
61,/book/show/168668.Catch_22
62,/book/show/3636.The_Giver
63,/book/show/38447.The_Handmaid_s_Tale
64,/book/show/5043.The_Pillars_of_the_Earth
65,/book/show/149267.The_Stand
66,/book/show/76620.Watership_Down
67,/book/show/3590.The_Adventures_of_Sherlock_Holmes
68,/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
69,/book/show/10917.My_Sister_s_Keeper
70,/book/show/6514.The_Bell_Jar
71,/book/show/10964.Outlander
72,/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
73,/book/show/17899948-rebecca
74,/book/show/39988.Matilda
75,/book/show/34.The_Fellowship_of_the_Ring
76,/book/show/1934.Little_Women
77,/book/show/11486.The_Color_Purple
78,/book/show/14891.A_Tree_Grows_in_Brooklyn
79,/book/show/6288.The_Road
80,/book/show/227463.A_Clockwork_Orange
81,/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
82,/book/show/4934.The_Brothers_Karamazov
83,/book/show/252577.Angela_s_Ashes
84,/book/show/234225.Dune
85,/book/show/18660669-vampire-academy
86,/book/show/7244.The_Poisonwood_Bible
87,/book/show/52036.Siddhartha
88,/book/show/17470674-fahrenheit-451
89,/book/show/662.Atlas_Shrugged
90,/book/show/5470.1984
91,/book/show/3836.Don_Quixote
92,/book/show/119322.The_Golden_Compass
93,/book/show/2165.The_Old_Man_and_the_Sea
94,/book/show/15931.The_Notebook
95,/book/show/2619.Great_Expectations
96,/book/show/151.Anna_Karenina
97,/book/show/99107.Winnie_the_Pooh
98,/book/show/23919.The_Complete_Stories_and_Poems
99,/book/show/4473.A_Prayer_for_Owen_Meany
100,/book/show/43763.Interview_with_the_Vampire
101,/book/show/153747.Moby_Dick_or_the_Whale
102,/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
103,/book/show/4989.The_Red_Tent
104,/book/show/37435.The_Secret_Life_of_Bees
